"dataset","freq","freq_label","siec","siec_label","nrg_cons","nrg_cons_label","unit","unit_label","tax","tax_label","currency","currency_label","geo","geo_label","time","time_label","value"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2022-S1","2022-S1","19.7333"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2022-S2","2022-S2","24.989"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2023-S1","2023-S1","19.7366"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2023-S2","2023-S2","16.4748"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2024-S1","2024-S1","13.8404"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2024-S2","2024-S2","14.2098"
"nrg_pc_203_EU27_total","S","Half-yearly, semesterly","G3000","Natural gas","TOT_GJ","Consumption of GJ - all bands","GJ_GCV","Gigajoule (gross calorific value - GCV)","X_TAX","Excluding taxes and levies","EUR","Euro","EU27_2020","European Union - 27 countries (from 2020)","2025-S1","2025-S1","14.1743"
