country_scope,feed_type,sample,stage,contaminant_wt_pct,chemical_purity_wt_pct,source_locator,source_url,contaminant_wt_pct_low,contaminant_wt_pct_high,data_deposit_url,status
UK,refurbishment plasterboard waste,RPW batch 1,collected_and_manually_sorted,10.0,,article Results: improved mechanical pre-treatment,https://doi.org/10.12688/openreseurope.16583.3,,,https://doi.org/10.5281/zenodo.8279464,UK external validation benchmark; not an EU-27 distribution
UK,refurbishment plasterboard waste,RPW batch 1,after_manual_segregation,7.0,,article Results: improved mechanical pre-treatment,https://doi.org/10.12688/openreseurope.16583.3,,,https://doi.org/10.5281/zenodo.8279464,UK external validation benchmark; not an EU-27 distribution
UK,refurbishment plasterboard waste,RPW batch 1,after_crushing_sieving_lt_250_um,5.0,95.9,article Results; Extended data Table S1,https://doi.org/10.12688/openreseurope.16583.3,4.0,6.0,https://doi.org/10.5281/zenodo.8279464,UK external validation benchmark; not an EU-27 distribution
UK,demolition plasterboard waste,DPW batch 1,collected_and_manually_sorted,23.0,,article Results: improved mechanical pre-treatment,https://doi.org/10.12688/openreseurope.16583.3,,,https://doi.org/10.5281/zenodo.8279464,UK external validation benchmark; not an EU-27 distribution
UK,demolition plasterboard waste,DPW batch 1,after_manual_segregation,15.0,,article Results: improved mechanical pre-treatment,https://doi.org/10.12688/openreseurope.16583.3,,,https://doi.org/10.5281/zenodo.8279464,UK external validation benchmark; not an EU-27 distribution
UK,demolition plasterboard waste,DPW batch 1,after_crushing_sieving_lt_250_um,5.0,96.0,article Results; Extended data Table S1,https://doi.org/10.12688/openreseurope.16583.3,4.0,6.0,https://doi.org/10.5281/zenodo.8279464,UK external validation benchmark; not an EU-27 distribution
