"dataset","freq","freq_label","unit","unit_label","hazard","hazard_label","wst_oper","wst_oper_label","waste","waste_label","geo","geo_label","time","time_label","value"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","BG","Bulgaria","2022","2022","325674"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2010","2010","2986424"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2012","2012","3502831"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2014","2014","3583425"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2016","2016","4893384"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2018","2018","7411884"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2020","2020","7066101"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","CZ","Czechia","2022","2022","6697014"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2010","2010","2188962"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2012","2012","2743145"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2014","2014","3297001"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2016","2016","3471625"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2018","2018","4090287"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2020","2020","3695102"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DK","Denmark","2022","2022","4491554"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2010","2010","74824387"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2012","2012","75561613"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2014","2014","76384581"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2016","2016","83796189"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2018","2018","83042460"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2020","2020","85706884"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","DE","Germany","2022","2022","80811555"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2010","2010","608427"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2012","2012","543081"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2014","2014","724210"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2016","2016","509531"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2018","2018","1026665"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2020","2020","671028"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EE","Estonia","2022","2022","766354"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2010","2010","458963"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2012","2012","286405"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2014","2014","398461"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2016","2016","444150"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2018","2018","877569"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2020","2020","554329"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","IE","Ireland","2022","2022","748543"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2010","2010","1544754"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2012","2012","604369"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2014","2014","140112"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2016","2016","138099"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2018","2018","718860"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2020","2020","1573901"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","EL","Greece","2022","2022","2236071"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2010","2010","11383724"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2012","2012","27393121"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2014","2014","7097160"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2016","2016","9148448"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2018","2018","14495808"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2020","2020","14371856"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","ES","Spain","2022","2022","14647979"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2010","2010","65061585"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2012","2012","61818603"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2014","2014","60551785"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2016","2016","63998536"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2018","2018","68965855"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2020","2020","53196319"
"env_wastrt_W121_total","A","Annual","T","Tonne","HAZ_NHAZ","Hazardous and non-hazardous - total","TRT","Waste treatment","W121","Mineral waste from construction and demolition","FR","France","2022","2022","62028210"
