"scenario","description","input_mass_kg","jrc_board_bearing_feed_kg","assumed_recovery_yield","assumed_retained_paper_fraction","assumed_retained_coating_wood_fraction","assumed_retained_mineral_fraction","assumed_free_moisture","hazardous_material_flag","visible_contaminant_flag","recovered_gypsum_equivalent_kg","dry_product_mass_kg","wet_product_mass_kg","calculated_purity_kgkg","organic_mass_proxy_kgkg","unrecovered_board_loss_kg","board_mass_reconciled_kg","purity_gate","moisture_gate","toc_proxy_gate","board_route_screen_status","jrc_recycled_gypsum_content_max","recovered_gypsum_per_t_input_kg","climate_allowable_additional_burden_low_kgco2e_per_t_input","climate_allowable_additional_burden_point_kgco2e_per_t_input","climate_allowable_additional_burden_high_kgco2e_per_t_input","lcc_status","evidence_class"
"C0_clean_selective","Source-separated board feed; low residual contamination","1000","840","0.88","0.005","0.001","0.001","0.02","0","0","734.026","739.2","754.286","0.993","0.006","100.8","840","PASS","PASS","PASS_PROXY_ONLY","SCREEN_PASS_REQUIRES_TESTING","0.3","734.026","48.446","62.392","76.339","NOT_IDENTIFIED_NO_OPEN_HARMONIZED_GYPSUM_PRICE_OR_PROCESS_COST","Scenario arithmetic using public JRC composition and public quality criteria; not an empirical contamination response"
"C1_moderate_selective","Selective demolition with moderate residual organics","1000","840","0.85","0.02","0.01","0.01","0.1","0","0","685.44","714","793.333","0.96","0.03","126","840","PASS","PASS","FAIL_PROXY_ONLY","FAIL_OR_CONDITIONAL_CHEMISTRY","0.3","685.44","45.239","58.262","71.286","NOT_IDENTIFIED_NO_OPEN_HARMONIZED_GYPSUM_PRICE_OR_PROCESS_COST","Scenario arithmetic using public JRC composition and public quality criteria; not an empirical contamination response"
"C2_high_contamination","Mixed feed with high organic/mineral contamination","1000","840","0.65","0.05","0.05","0.05","0.2","0","1","464.1","546","682.5","0.85","0.1","294","840","PASS","FAIL","FAIL_PROXY_ONLY","FAIL_VISIBLE_CONTAMINANT_SCENARIO","0.3","464.1","30.631","39.448","48.266","NOT_IDENTIFIED_NO_OPEN_HARMONIZED_GYPSUM_PRICE_OR_PROCESS_COST","Scenario arithmetic using public JRC composition and public quality criteria; not an empirical contamination response"
"C3_hazardous_exclusion","Feed with suspected asbestos or other hazardous material","1000","840","0","0","0","0","0","1","1","0","0","0","0","0","840","840","FAIL","PASS","PASS_PROXY_ONLY","FAIL_HAZARD_EXCLUSION","0.3","0","0","0","0","NOT_IDENTIFIED_NO_OPEN_HARMONIZED_GYPSUM_PRICE_OR_PROCESS_COST","Scenario arithmetic using public JRC composition and public quality criteria; not an empirical contamination response"
