scenario,short,input_reference_kg,board_reference_kg,gross_dry_output_kg,gypsum_equivalent_kg,retained_paper_kg,retained_coating_wood_kg,retained_mineral_kg,wet_product_kg_ancillary,unrecovered_board_loss_kg,mass_purity_proxy,organic_mass_proxy,total_dry_non_gypsum,product_free_moisture,hazard_flag,visible_contaminant_flag,mass_screen_pass,strict_mass_screen_pass,chemical_acceptance_status,route_status,interpretation
C0_clean_selective,C0,1000.0,840.0,739.2,734.0256,3.696,0.7392000000000001,0.7392000000000001,754.2857142857143,100.79999999999995,0.993,0.006,0.007,0.02,0,0,1,1,INDETERMINATE_NO_MATCHED_TOC_CASO4_OBSERVATION,MASS_SCREEN_PASS_CONFIRMATORY_CHEMISTRY_REQUIRED,"Model output on a normalized dry-equivalent reference flow; not a measured batch, product certificate or causal treatment effect."
C1_moderate_selective,C1,1000.0,840.0,714.0,685.44,14.280000000000001,7.140000000000001,7.140000000000001,793.3333333333333,126.0,0.9600000000000001,0.03,0.04,0.1,0,0,0,0,INDETERMINATE_NO_MATCHED_TOC_CASO4_OBSERVATION,MASS_SCREEN_FLAG_CONFIRMATORY_CHEMISTRY_REQUIRED,"Model output on a normalized dry-equivalent reference flow; not a measured batch, product certificate or causal treatment effect."
C2_high_contamination,C2,1000.0,840.0,546.0,464.1,27.3,27.3,27.3,682.5,294.0,0.8500000000000001,0.1,0.15000000000000002,0.2,0,1,0,0,INDETERMINATE_NO_MATCHED_TOC_CASO4_OBSERVATION,PRETREATMENT_CANDIDATE_POST_TREATMENT_UNKNOWN,"Model output on a normalized dry-equivalent reference flow; not a measured batch, product certificate or causal treatment effect."
C3_hazardous_exclusion,C3,1000.0,840.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,0.0,0.0,0.0,0.0,1,1,1,1,INDETERMINATE_NO_MATCHED_TOC_CASO4_OBSERVATION,ROUTE_OUT_HAZARD,"Model output on a normalized dry-equivalent reference flow; not a measured batch, product certificate or causal treatment effect."
